36 6 1
72 16 0
55 18 7
46 44 8
54 51 8
53 39 3
50 31 9
59 66 1
46 25 9
51 60 0
45 22 7
46 64 1
60 32 2
54 36 1
57 45 8
52 69 1
68 29 2
18 34 2
38 66 6
45 33 0
44 32 0
50 40 8
32 62 0
50 38 1
52 62 7
41 48 6
35 58 3
55 12 8
61 30 8
56 41 5
51 63 0
47 55 7
61 34 5
60 6 7
29 36 3
43 41 1
53 31 3
44 58 5
40 29 1
58 9 7
68 5 9
49 23 6
46 1 1
60 38 8
55 63 0
46 52 8
54 57 5
52 63 7
68 62 6
41 17 3
36 59 8
50 51 2
39 23 6
48 46 0
33 2 4
49 66 5
46 60 8
43 20 4
44 62 8
58 58 6
37 15 7
57 3 6
40 68 1
51 52 6
62 38 2
56 18 0
36 61 1
51 6 4
41 6 0
45 5 8
55 61 5
36 13 5
52 57 9
37 17 8
67 14 5
40 49 9
47 29 1
56 30 2
38 47 6
50 9 4
54 27 0
60 38 9
54 63 4
49 51 9
54 36 6
61 44 2
45 24 5
58 7 3
45 54 0
37 28 6
41 41 5
53 46 0
42 39 5
33 10 3
53 22 0
52 18 3
53 60 8
61 40 0
41 0 0
66 44 7
