31 52 8
40 44 9
30 46 0
45 53 4
37 17 4
44 3 8
39 11 6
37 26 1
32 51 2
35 42 3
46 10 6
32 64 7
36 29 4
51 44 2
36 36 9
40 47 4
44 31 4
49 24 3
41 44 7
31 31 6
40 51 6
40 47 3
47 39 4
33 0 1
45 43 5
49 49 1
40 26 8
39 36 8
45 48 7
31 8 2
44 40 1
37 62 9
44 18 7
33 28 6
44 0 2
38 10 1
33 21 9
38 18 4
33 66 0
37 44 1
34 50 8
38 63 0
38 1 5
40 66 2
44 50 1
46 35 3
42 47 2
42 10 5
35 45 9
44 47 0
41 16 4
41 23 3
31 35 9
45 11 7
41 68 8
37 2 1
32 64 5
44 27 0
47 0 8
49 41 7
33 22 3
43 11 9
45 19 2
42 39 1
34 69 6
44 28 5
41 58 9
49 0 1
34 36 0
37 32 5
49 58 9
35 39 4
51 32 8
43 51 3
40 31 9
42 64 7
41 68 3
33 12 8
46 63 5
32 9 0
41 52 6
44 8 9
41 3 6
40 28 9
42 25 2
33 52 9
38 63 4
39 31 6
29 65 7
42 41 0
38 30 3
38 48 0
38 19 6
45 6 6
43 46 3
32 22 2
30 10 9
40 62 6
40 30 2
45 30 7
