85 38 2
67 10 3
68 46 1
65 68 1
58 15 2
71 61 2
69 62 3
68 31 3
81 31 2
82 10 1
91 20 1
74 65 2
68 1 1
63 13 2
71 4 2
63 61 2
79 38 2
67 28 1
65 52 1
68 23 1
74 33 2
68 25 0
59 29 2
70 4 2
79 50 3
59 16 1
78 21 0
82 42 3
93 52 3
80 37 1
63 60 3
80 48 0
74 32 0
56 66 0
58 17 3
76 43 0
69 32 2
53 19 1
69 1 2
68 30 1
71 63 2
56 65 1
68 18 1
66 16 1
72 7 1
66 64 1
68 49 1
58 51 2
74 30 1
62 8 1
76 66 2
77 18 2
73 29 1
75 37 3
43 22 3
75 47 3
62 2 1
77 61 0
88 37 1
75 2 2
59 50 2
69 20 1
74 29 4
79 25 1
74 49 2
80 67 3
68 49 1
72 18 0
60 58 2
76 54 1
68 21 0
74 29 1
71 10 1
76 37 2
70 33 1
64 37 0
83 35 3
58 13 1
74 14 3
71 68 0
76 65 2
60 31 3
77 52 1
73 64 2
51 50 3
69 42 2
51 24 2
80 22 3
77 63 0
73 1 1
66 47 2
60 39 2
86 17 2
68 58 2
70 20 2
66 22 0
65 67 3
80 12 1
82 3 2
52 58 0
