27 57 2
26 57 1
33 25 1
32 14 0
26 58 3
27 36 1
26 54 0
31 46 2
32 9 2
31 61 2
30 39 2
32 48 3
35 59 1
25 16 4
27 36 0
29 9 0
32 17 2
31 26 1
27 36 3
27 52 1
36 34 2
40 64 1
37 26 2
28 54 2
34 64 1
33 37 1
36 24 0
28 44 0
27 67 0
31 67 0
29 36 2
26 33 0
34 58 1
27 4 0
28 10 0
29 0 2
26 62 2
35 25 1
29 62 2
29 46 1
25 3 2
30 32 1
21 13 1
28 41 2
33 8 2
19 10 2
25 0 2
21 45 0
27 46 1
31 16 1
27 36 3
35 47 2
30 39 1
27 8 1
39 37 1
20 50 2
34 6 2
45 63 2
31 56 1
23 29 2
27 41 1
32 37 1
30 65 2
27 64 0
36 48 2
25 0 1
32 61 2
26 2 1
33 29 4
24 63 2
18 17 1
32 37 1
27 47 3
32 47 2
36 34 2
39 37 2
29 40 1
30 38 1
24 4 1
32 6 2
30 13 0
24 25 1
28 45 1
34 29 0
23 54 1
29 10 1
31 31 1
24 35 1
36 43 3
24 23 1
28 12 3
24 63 1
33 52 2
32 51 1
33 52 2
27 52 2
28 4 3
28 45 4
31 31 3
27 28 4
