54 27 5
73 50 1
38 59 0
55 3 9
35 55 7
65 64 5
49 42 4
44 25 1
64 26 3
66 17 3
49 31 9
58 60 0
56 62 2
76 25 5
36 33 7
61 13 0
57 11 2
56 16 3
52 7 3
64 15 5
64 16 7
66 4 0
41 4 6
60 6 5
40 34 4
55 46 4
45 37 4
35 15 1
80 28 5
73 57 5
47 45 2
59 50 8
66 30 5
45 11 6
50 66 3
68 42 1
55 5 2
55 42 2
46 38 4
63 26 1
54 19 7
49 37 7
56 44 1
62 5 8
73 25 5
70 66 3
48 10 0
59 10 7
41 18 3
51 47 4
72 57 5
45 33 8
63 37 8
61 38 0
65 48 7
50 32 1
78 24 8
71 63 6
42 20 5
52 34 3
71 67 6
43 30 3
47 37 7
60 38 2
58 49 4
45 9 4
62 45 1
66 69 3
88 38 7
57 67 0
82 30 6
64 21 2
62 27 9
64 61 6
62 60 9
55 5 5
49 55 6
60 13 1
70 39 8
63 54 7
64 15 4
73 48 8
46 52 1
39 39 9
55 31 5
55 64 0
68 63 1
80 15 2
61 65 9
52 0 3
57 8 5
37 5 3
43 29 2
56 41 8
68 38 3
59 44 6
54 37 6
62 8 6
69 24 6
48 17 2
